=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2014.03.29 10:19:02 =~=~=~=~=~=~=~=~=~=~=~=
1264173,-1120,108,16952,-230,128,-31
350,-1164,200,16900,-225,157,-25
387,-1232,104,16792,-218,140,-6
424,-1120,160,16896,-224,149,-37
461,-1176,180,16980,-228,141,-25
498,-1152,136,16892,-245,151,0
534,-1136,200,16940,-248,170,-14
571,-1084,84,16948,-219,174,-37
608,-1016,160,17012,-232,134,-10
645,-1140,228,16836,-224,170,-11
682,-1128,168,16912,-255,145,-24
719,-1076,288,16880,-233,120,-22
756,-1044,148,16720,-253,136,-32
793,-1108,148,17028,-221,133,-41
830,-1136,192,16988,-232,138,-26
867,-1188,280,16872,-214,151,-16
904,-1072,260,16912,-247,150,-32
941,-1132,332,16848,-192,147,-15
978,-1144,232,16976,-260,162,-8
1015,-1156,256,16956,-223,140,-15
1052,-1148,244,16996,-211,126,-13
1089,-1112,292,16892,-234,147,-36
1126,-1264,236,16848,-226,137,-48
1163,-1044,204,16896,-215,149,-5
1200,-1040,268,16940,-239,148,-29
1237,-1096,204,16856,-245,147,-6
1274,-1144,104,16884,-210,166,-18
1311,-1108,208,17016,-227,134,-30
1348,-1084,96,16948,-200,131,-23
1385,-1232,184,16908,-225,146,-48
1422,-1104,92,16916,-239,172,-22
1459,-1032,92,16980,-240,179,-31
1496,-1108,184,16872,-226,159,-10
1533,-1104,280,17000,-252,168,-24
1570,-1108,196,16912,-238,144,-40
1607,-1040,152,17012,-243,163,-24
1644,-1076,256,17004,-210,140,-22
1681,-1184,288,17064,-225,158,-36
1718,-1184,268,16860,-219,182,-25
1755,-1032,276,16912,-234,143,-15
1792,-1152,276,16892,-237,152,-41
1829,-1056,220,16848,-230,159,-41
1866,-1136,272,16940,-211,136,-36
1903,-1100,256,16860,-221,146,-13
1940,-1144,264,16908,-202,143,-45
1977,-1064,248,16940,-210,168,-34
2014,-1160,204,16868,-216,145,-26
2051,-1068,160,16892,-202,129,-35
2088,-1176,220,16964,-231,156,-18
2125,-1184,156,16904,-227,141,-38
2162,-1208,36,16896,-225,147,-24
2199,-1192,84,16856,-220,158,-34
2236,-1176,144,16820,-234,137,-36
2273,-1076,112,16860,-227,142,-12
2310,-1156,144,16872,-237,154,-45
2347,-1160,128,16900,-248,162,-16
2384,-1132,92,17008,-241,155,-23
2421,-1128,200,16848,-242,173,-19
2458,-1072,124,16892,-234,144,-21
2495,-1128,216,16920,-238,136,-8
2532,-1116,188,16824,-214,176,-32
2569,-1052,224,16892,-251,136,-46
2606,-1132,220,16928,-236,159,-2
2643,-1140,284,16872,-233,152,-41
2680,-1072,200,16840,-233,127,-17
2717,-1092,252,17008,-230,111,-46
2754,-1144,344,16952,-224,135,-33
2791,-1116,192,16932,-227,142,-22
2828,-1136,192,16912,-237,148,-36
2865,-1096,240,16976,-219,140,-19
2902,-1108,236,16920,-222,122,-17
2939,-1168,140,16904,-225,122,-8
2976,-1124,228,16964,-204,147,-29
3013,-1132,148,16972,-209,128,-24
3050,-1148,156,16904,-218,153,-18
3087,-1132,180,16976,-226,134,-42
3124,-1080,120,17068,-237,116,-40
3161,-1152,228,16880,-244,144,-8
3198,-1160,140,17008,-238,147,-15
3235,-1100,104,17020,-217,155,-18
3272,-1076,72,16956,-222,152,-19
3309,-1200,248,16948,-222,146,-25
3346,-1136,164,16948,-241,161,-42
3383,-1132,132,16932,-257,179,-16
3420,-1128,128,16812,-231,133,2
3457,-1088,192,17020,-214,152,-24
3494,-1088,304,16956,-256,149,-6
3531,-1104,240,16960,-230,147,-15
3568,-1032,164,16832,-222,134,-41
3605,-1136,176,16908,-211,149,-9
3642,-1192,228,16836,-225,128,-27
3679,-1056,204,16928,-236,126,-30
3716,-1120,184,16940,-213,122,-15
3753,-1132,264,16844,-229,145,-5
3790,-1120,368,16880,-215,137,-47
3827,-1132,228,16900,-210,163,-34
